Sim Number,Strategy,End Bankroll,Start Bankroll,Dice Rolls
629,corey,157.0,200,63
629,coreynofield,157.0,200,63
629,hammerlock,383.0,200,63
629,knockout,60.0,200,63
629,pass2come,175.0,200,63
630,corey,151.0,200,94
630,coreynofield,186.0,200,94
630,hammerlock,280.0,200,94
630,knockout,150.0,200,94
630,pass2come,190.0,200,94
631,corey,169.0,200,63
631,coreynofield,174.0,200,63
631,hammerlock,211.0,200,63
631,knockout,135.0,200,63
631,pass2come,180.0,200,63
632,corey,212.0,200,120
632,coreynofield,292.0,200,120
632,hammerlock,197.0,200,120
632,knockout,350.0,200,120
632,pass2come,260.0,200,120
633,corey,247.0,200,86
633,coreynofield,172.0,200,86
633,hammerlock,133.0,200,86
633,knockout,195.0,200,86
633,pass2come,210.0,200,86
634,corey,152.0,200,53
634,coreynofield,152.0,200,53
634,hammerlock,147.0,200,53
634,knockout,115.0,200,53
634,pass2come,180.0,200,53
635,corey,162.0,200,64
635,coreynofield,177.0,200,64
635,hammerlock,217.0,200,64
635,knockout,95.0,200,64
635,pass2come,185.0,200,64
636,corey,317.0,200,107
636,coreynofield,322.0,200,107
636,hammerlock,123.0,200,107
636,knockout,340.0,200,107
636,pass2come,290.0,200,107
637,corey,116.0,200,77
637,coreynofield,121.0,200,77
637,hammerlock,173.0,200,77
637,knockout,195.0,200,77
637,pass2come,135.0,200,77
638,corey,141.0,200,73
638,coreynofield,146.0,200,73
638,hammerlock,178.0,200,73
638,knockout,200.0,200,73
638,pass2come,160.0,200,73
639,corey,178.0,200,76
639,coreynofield,188.0,200,76
639,hammerlock,317.0,200,76
639,knockout,130.0,200,76
639,pass2come,200.0,200,76
640,corey,184.0,200,71
640,coreynofield,159.0,200,71
640,hammerlock,154.0,200,71
640,knockout,170.0,200,71
640,pass2come,175.0,200,71
641,corey,112.0,200,58
641,coreynofield,152.0,200,58
641,hammerlock,286.0,200,58
641,knockout,55.0,200,58
641,pass2come,170.0,200,58
642,corey,160.0,200,105
642,coreynofield,210.0,200,105
642,hammerlock,21.0,200,105
642,knockout,375.0,200,105
642,pass2come,200.0,200,105
643,corey,75.0,200,59
643,coreynofield,125.0,200,59
643,hammerlock,267.0,200,59
643,knockout,10.0,200,59
643,pass2come,175.0,200,59
644,corey,162.0,200,66
644,coreynofield,127.0,200,66
644,hammerlock,247.0,200,66
644,knockout,70.0,200,66
644,pass2come,135.0,200,66
645,corey,136.0,200,99
645,coreynofield,126.0,200,99
645,hammerlock,306.0,200,99
645,knockout,200.0,200,99
645,pass2come,140.0,200,99
646,corey,254.0,200,116
646,coreynofield,294.0,200,116
646,hammerlock,232.0,200,116
646,knockout,255.0,200,116
646,pass2come,320.0,200,116
647,corey,149.0,200,73
647,coreynofield,174.0,200,73
647,hammerlock,340.0,200,73
647,knockout,110.0,200,73
647,pass2come,190.0,200,73
648,corey,150.0,200,83
648,coreynofield,150.0,200,83
648,hammerlock,225.0,200,83
648,knockout,210.0,200,83
648,pass2come,190.0,200,83
649,corey,213.0,200,77
649,coreynofield,218.0,200,77
649,hammerlock,222.0,200,77
649,knockout,210.0,200,77
649,pass2come,200.0,200,77
650,corey,126.0,200,82
650,coreynofield,156.0,200,82
650,hammerlock,152.0,200,82
650,knockout,165.0,200,82
650,pass2come,160.0,200,82
651,corey,149.0,200,71
651,coreynofield,184.0,200,71
651,hammerlock,253.0,200,71
651,knockout,75.0,200,71
651,pass2come,210.0,200,71
652,corey,186.0,200,95
652,coreynofield,221.0,200,95
652,hammerlock,113.0,200,95
652,knockout,305.0,200,95
652,pass2come,205.0,200,95
653,corey,176.0,200,67
653,coreynofield,161.0,200,67
653,hammerlock,150.0,200,67
653,knockout,165.0,200,67
653,pass2come,185.0,200,67
654,corey,30.0,200,59
654,coreynofield,65.0,200,59
654,hammerlock,258.0,200,59
654,knockout,35.0,200,59
654,pass2come,125.0,200,59
655,corey,231.0,200,77
655,coreynofield,241.0,200,77
655,hammerlock,147.0,200,77
655,knockout,170.0,200,77
655,pass2come,205.0,200,77
656,corey,144.0,200,78
656,coreynofield,129.0,200,78
656,hammerlock,132.0,200,78
656,knockout,225.0,200,78
656,pass2come,165.0,200,78
657,corey,134.0,200,64
657,coreynofield,149.0,200,64
657,hammerlock,259.0,200,64
657,knockout,65.0,200,64
657,pass2come,175.0,200,64
658,corey,118.0,200,62
658,coreynofield,148.0,200,62
658,hammerlock,191.0,200,62
658,knockout,140.0,200,62
658,pass2come,130.0,200,62
659,corey,268.0,200,92
659,coreynofield,233.0,200,92
659,hammerlock,83.0,200,92
659,knockout,240.0,200,92
659,pass2come,205.0,200,92
660,corey,119.0,200,54
660,coreynofield,159.0,200,54
660,hammerlock,177.0,200,54
660,knockout,125.0,200,54
660,pass2come,165.0,200,54
661,corey,89.0,200,66
661,coreynofield,124.0,200,66
661,hammerlock,262.0,200,66
661,knockout,115.0,200,66
661,pass2come,140.0,200,66
662,corey,140.0,200,51
662,coreynofield,145.0,200,51
662,hammerlock,271.0,200,51
662,knockout,15.0,200,51
662,pass2come,185.0,200,51
663,corey,196.0,200,88
663,coreynofield,231.0,200,88
663,hammerlock,127.0,200,88
663,knockout,220.0,200,88
663,pass2come,245.0,200,88
664,corey,179.0,200,93
664,coreynofield,199.0,200,93
664,hammerlock,12.0,200,93
664,knockout,270.0,200,93
664,pass2come,225.0,200,93
665,corey,310.0,200,123
665,coreynofield,335.0,200,123
665,hammerlock,12.0,200,123
665,knockout,450.0,200,123
665,pass2come,285.0,200,123
666,corey,112.0,200,79
666,coreynofield,147.0,200,79
666,hammerlock,158.0,200,79
666,knockout,160.0,200,79
666,pass2come,175.0,200,79
667,corey,105.0,200,63
667,coreynofield,95.0,200,63
667,hammerlock,339.0,200,63
667,knockout,15.0,200,63
667,pass2come,145.0,200,63
668,corey,165.0,200,63
668,coreynofield,115.0,200,63
668,hammerlock,235.0,200,63
668,knockout,80.0,200,63
668,pass2come,165.0,200,63
669,corey,117.0,200,67
669,coreynofield,187.0,200,67
669,hammerlock,386.0,200,67
669,knockout,25.0,200,67
669,pass2come,205.0,200,67
670,corey,235.0,200,95
670,coreynofield,245.0,200,95
670,hammerlock,97.0,200,95
670,knockout,295.0,200,95
670,pass2come,205.0,200,95
671,corey,153.0,200,86
671,coreynofield,198.0,200,86
671,hammerlock,220.0,200,86
671,knockout,195.0,200,86
671,pass2come,170.0,200,86
672,corey,163.0,200,108
672,coreynofield,198.0,200,108
672,hammerlock,250.0,200,108
672,knockout,210.0,200,108
672,pass2come,200.0,200,108
673,corey,309.0,200,100
673,coreynofield,289.0,200,100
673,hammerlock,100.0,200,100
673,knockout,245.0,200,100
673,pass2come,225.0,200,100
674,corey,269.0,200,145
674,coreynofield,329.0,200,145
674,hammerlock,283.0,200,145
674,knockout,345.0,200,145
674,pass2come,295.0,200,145
675,corey,167.0,200,63
675,coreynofield,147.0,200,63
675,hammerlock,248.0,200,63
675,knockout,80.0,200,63
675,pass2come,175.0,200,63
676,corey,164.0,200,89
676,coreynofield,169.0,200,89
676,hammerlock,223.0,200,89
676,knockout,225.0,200,89
676,pass2come,165.0,200,89
677,corey,150.0,200,90
677,coreynofield,230.0,200,90
677,hammerlock,166.0,200,90
677,knockout,250.0,200,90
677,pass2come,230.0,200,90
678,corey,142.0,200,75
678,coreynofield,142.0,200,75
678,hammerlock,264.0,200,75
678,knockout,85.0,200,75
678,pass2come,170.0,200,75
679,corey,237.0,200,99
679,coreynofield,302.0,200,99
679,hammerlock,169.0,200,99
679,knockout,275.0,200,99
679,pass2come,250.0,200,99
680,corey,146.0,200,81
680,coreynofield,191.0,200,81
680,hammerlock,380.0,200,81
680,knockout,150.0,200,81
680,pass2come,195.0,200,81
681,corey,200.0,200,102
681,coreynofield,240.0,200,102
681,hammerlock,234.0,200,102
681,knockout,285.0,200,102
681,pass2come,190.0,200,102
682,corey,183.0,200,80
682,coreynofield,203.0,200,80
682,hammerlock,183.0,200,80
682,knockout,175.0,200,80
682,pass2come,205.0,200,80
683,corey,174.0,200,91
683,coreynofield,184.0,200,91
683,hammerlock,241.0,200,91
683,knockout,285.0,200,91
683,pass2come,170.0,200,91
684,corey,195.0,200,116
684,coreynofield,230.0,200,116
684,hammerlock,261.0,200,116
684,knockout,275.0,200,116
684,pass2come,240.0,200,116
685,corey,208.0,200,109
685,coreynofield,163.0,200,109
685,hammerlock,231.0,200,109
685,knockout,255.0,200,109
685,pass2come,135.0,200,109
686,corey,209.0,200,82
686,coreynofield,199.0,200,82
686,hammerlock,183.0,200,82
686,knockout,235.0,200,82
686,pass2come,215.0,200,82
687,corey,172.0,200,52
687,coreynofield,177.0,200,52
687,hammerlock,260.0,200,52
687,knockout,55.0,200,52
687,pass2come,205.0,200,52
688,corey,234.0,200,77
688,coreynofield,244.0,200,77
688,hammerlock,124.0,200,77
688,knockout,210.0,200,77
688,pass2come,250.0,200,77
689,corey,206.0,200,103
689,coreynofield,211.0,200,103
689,hammerlock,185.0,200,103
689,knockout,180.0,200,103
689,pass2come,235.0,200,103
690,corey,164.0,200,110
690,coreynofield,154.0,200,110
690,hammerlock,369.0,200,110
690,knockout,120.0,200,110
690,pass2come,170.0,200,110
691,corey,204.0,200,94
691,coreynofield,164.0,200,94
691,hammerlock,12.0,200,94
691,knockout,275.0,200,94
691,pass2come,190.0,200,94
692,corey,193.0,200,96
692,coreynofield,188.0,200,96
692,hammerlock,137.0,200,96
692,knockout,320.0,200,96
692,pass2come,180.0,200,96
693,corey,163.0,200,80
693,coreynofield,168.0,200,80
693,hammerlock,215.0,200,80
693,knockout,230.0,200,80
693,pass2come,170.0,200,80
694,corey,89.0,200,57
694,coreynofield,124.0,200,57
694,hammerlock,228.0,200,57
694,knockout,130.0,200,57
694,pass2come,150.0,200,57
695,corey,235.0,200,131
695,coreynofield,240.0,200,131
695,hammerlock,112.0,200,131
695,knockout,315.0,200,131
695,pass2come,240.0,200,131
696,corey,172.0,200,80
696,coreynofield,242.0,200,80
696,hammerlock,154.0,200,80
696,knockout,240.0,200,80
696,pass2come,210.0,200,80
697,corey,232.0,200,86
697,coreynofield,247.0,200,86
697,hammerlock,152.0,200,86
697,knockout,310.0,200,86
697,pass2come,205.0,200,86
698,corey,228.0,200,77
698,coreynofield,213.0,200,77
698,hammerlock,120.0,200,77
698,knockout,220.0,200,77
698,pass2come,185.0,200,77
699,corey,151.0,200,84
699,coreynofield,241.0,200,84
699,hammerlock,118.0,200,84
699,knockout,295.0,200,84
699,pass2come,205.0,200,84
700,corey,239.0,200,132
700,coreynofield,159.0,200,132
700,hammerlock,324.0,200,132
700,knockout,210.0,200,132
700,pass2come,155.0,200,132
701,corey,139.0,200,81
701,coreynofield,144.0,200,81
701,hammerlock,169.0,200,81
701,knockout,165.0,200,81
701,pass2come,160.0,200,81
702,corey,85.0,200,55
702,coreynofield,110.0,200,55
702,hammerlock,237.0,200,55
702,knockout,35.0,200,55
702,pass2come,130.0,200,55
703,corey,167.0,200,74
703,coreynofield,187.0,200,74
703,hammerlock,183.0,200,74
703,knockout,175.0,200,74
703,pass2come,215.0,200,74
704,corey,256.0,200,80
704,coreynofield,236.0,200,80
704,hammerlock,138.0,200,80
704,knockout,175.0,200,80
704,pass2come,230.0,200,80
705,corey,221.0,200,56
705,coreynofield,226.0,200,56
705,hammerlock,90.0,200,56
705,knockout,170.0,200,56
705,pass2come,210.0,200,56
706,corey,63.0,200,64
706,coreynofield,128.0,200,64
706,hammerlock,304.0,200,64
706,knockout,115.0,200,64
706,pass2come,120.0,200,64
707,corey,327.0,200,154
707,coreynofield,257.0,200,154
707,hammerlock,75.0,200,154
707,knockout,525.0,200,154
707,pass2come,175.0,200,154
708,corey,225.0,200,75
708,coreynofield,150.0,200,75
708,hammerlock,268.0,200,75
708,knockout,35.0,200,75
708,pass2come,170.0,200,75
709,corey,185.0,200,112
709,coreynofield,200.0,200,112
709,hammerlock,193.0,200,112
709,knockout,310.0,200,112
709,pass2come,170.0,200,112
710,corey,200.0,200,102
710,coreynofield,215.0,200,102
710,hammerlock,186.0,200,102
710,knockout,255.0,200,102
710,pass2come,205.0,200,102
711,corey,189.0,200,78
711,coreynofield,179.0,200,78
711,hammerlock,209.0,200,78
711,knockout,130.0,200,78
711,pass2come,205.0,200,78
712,corey,137.0,200,73
712,coreynofield,112.0,200,73
712,hammerlock,101.0,200,73
712,knockout,145.0,200,73
712,pass2come,170.0,200,73
713,corey,176.0,200,97
713,coreynofield,191.0,200,97
713,hammerlock,271.0,200,97
713,knockout,145.0,200,97
713,pass2come,175.0,200,97
714,corey,184.0,200,75
714,coreynofield,199.0,200,75
714,hammerlock,224.0,200,75
714,knockout,115.0,200,75
714,pass2come,185.0,200,75
715,corey,130.0,200,63
715,coreynofield,165.0,200,63
715,hammerlock,334.0,200,63
715,knockout,30.0,200,63
715,pass2come,195.0,200,63
716,corey,238.0,200,102
716,coreynofield,268.0,200,102
716,hammerlock,55.0,200,102
716,knockout,365.0,200,102
716,pass2come,250.0,200,102
717,corey,191.0,200,74
717,coreynofield,191.0,200,74
717,hammerlock,200.0,200,74
717,knockout,140.0,200,74
717,pass2come,195.0,200,74
718,corey,132.0,200,69
718,coreynofield,117.0,200,69
718,hammerlock,269.0,200,69
718,knockout,10.0,200,69
718,pass2come,165.0,200,69
719,corey,141.0,200,101
719,coreynofield,221.0,200,101
719,hammerlock,61.0,200,101
719,knockout,300.0,200,101
719,pass2come,235.0,200,101
720,corey,328.0,200,125
720,coreynofield,283.0,200,125
720,hammerlock,201.0,200,125
720,knockout,265.0,200,125
720,pass2come,245.0,200,125
721,corey,141.0,200,57
721,coreynofield,161.0,200,57
721,hammerlock,107.0,200,57
721,knockout,140.0,200,57
721,pass2come,165.0,200,57
722,corey,134.0,200,91
722,coreynofield,189.0,200,91
722,hammerlock,150.0,200,91
722,knockout,200.0,200,91
722,pass2come,205.0,200,91
723,corey,232.0,200,94
723,coreynofield,272.0,200,94
723,hammerlock,19.0,200,94
723,knockout,330.0,200,94
723,pass2come,240.0,200,94
724,corey,189.0,200,68
724,coreynofield,219.0,200,68
724,hammerlock,225.0,200,68
724,knockout,135.0,200,68
724,pass2come,225.0,200,68
725,corey,67.0,200,64
725,coreynofield,152.0,200,64
725,hammerlock,187.0,200,64
725,knockout,165.0,200,64
725,pass2come,180.0,200,64
726,corey,228.0,200,88
726,coreynofield,203.0,200,88
726,hammerlock,14.0,200,88
726,knockout,390.0,200,88
726,pass2come,185.0,200,88
727,corey,284.0,200,108
727,coreynofield,324.0,200,108
727,hammerlock,147.0,200,108
727,knockout,360.0,200,108
727,pass2come,270.0,200,108
728,corey,187.0,200,76
728,coreynofield,172.0,200,76
728,hammerlock,114.0,200,76
728,knockout,205.0,200,76
728,pass2come,200.0,200,76
729,corey,152.0,200,106
729,coreynofield,127.0,200,106
729,hammerlock,214.0,200,106
729,knockout,135.0,200,106
729,pass2come,165.0,200,106
730,corey,234.0,200,82
730,coreynofield,249.0,200,82
730,hammerlock,142.0,200,82
730,knockout,265.0,200,82
730,pass2come,195.0,200,82
731,corey,228.0,200,81
731,coreynofield,178.0,200,81
731,hammerlock,100.0,200,81
731,knockout,240.0,200,81
731,pass2come,190.0,200,81
732,corey,248.0,200,83
732,coreynofield,208.0,200,83
732,hammerlock,130.0,200,83
732,knockout,200.0,200,83
732,pass2come,190.0,200,83
733,corey,134.0,200,47
733,coreynofield,174.0,200,47
733,hammerlock,250.0,200,47
733,knockout,60.0,200,47
733,pass2come,190.0,200,47
734,corey,323.0,200,101
734,coreynofield,248.0,200,101
734,hammerlock,25.0,200,101
734,knockout,330.0,200,101
734,pass2come,240.0,200,101
735,corey,200.0,200,89
735,coreynofield,245.0,200,89
735,hammerlock,122.0,200,89
735,knockout,310.0,200,89
735,pass2come,205.0,200,89
736,corey,193.0,200,79
736,coreynofield,208.0,200,79
736,hammerlock,73.0,200,79
736,knockout,295.0,200,79
736,pass2come,190.0,200,79
737,corey,280.0,200,101
737,coreynofield,170.0,200,101
737,hammerlock,186.0,200,101
737,knockout,195.0,200,101
737,pass2come,140.0,200,101
738,corey,316.0,200,139
738,coreynofield,186.0,200,139
738,hammerlock,162.0,200,139
738,knockout,260.0,200,139
738,pass2come,180.0,200,139
739,corey,240.0,200,103
739,coreynofield,290.0,200,103
739,hammerlock,14.0,200,103
739,knockout,415.0,200,103
739,pass2come,260.0,200,103
740,corey,196.0,200,85
740,coreynofield,206.0,200,85
740,hammerlock,172.0,200,85
740,knockout,255.0,200,85
740,pass2come,180.0,200,85
741,corey,162.0,200,95
741,coreynofield,177.0,200,95
741,hammerlock,302.0,200,95
741,knockout,205.0,200,95
741,pass2come,175.0,200,95
742,corey,107.0,200,65
742,coreynofield,162.0,200,65
742,hammerlock,252.0,200,65
742,knockout,115.0,200,65
742,pass2come,190.0,200,65
743,corey,222.0,200,89
743,coreynofield,282.0,200,89
743,hammerlock,169.0,200,89
743,knockout,305.0,200,89
743,pass2come,250.0,200,89
744,corey,291.0,200,117
744,coreynofield,291.0,200,117
744,hammerlock,200.0,200,117
744,knockout,330.0,200,117
744,pass2come,265.0,200,117
745,corey,112.0,200,71
745,coreynofield,97.0,200,71
745,hammerlock,207.0,200,71
745,knockout,135.0,200,71
745,pass2come,135.0,200,71
746,corey,154.0,200,137
746,coreynofield,204.0,200,137
746,hammerlock,142.0,200,137
746,knockout,400.0,200,137
746,pass2come,160.0,200,137
747,corey,226.0,200,107
747,coreynofield,281.0,200,107
747,hammerlock,253.0,200,107
747,knockout,205.0,200,107
747,pass2come,285.0,200,107
748,corey,125.0,200,47
748,coreynofield,160.0,200,47
748,hammerlock,209.0,200,47
748,knockout,70.0,200,47
748,pass2come,210.0,200,47
749,corey,201.0,200,77
749,coreynofield,256.0,200,77
749,hammerlock,292.0,200,77
749,knockout,125.0,200,77
749,pass2come,230.0,200,77
750,corey,91.0,200,64
750,coreynofield,151.0,200,64
750,hammerlock,224.0,200,64
750,knockout,115.0,200,64
750,pass2come,185.0,200,64
751,corey,190.0,200,92
751,coreynofield,225.0,200,92
751,hammerlock,108.0,200,92
751,knockout,335.0,200,92
751,pass2come,195.0,200,92
752,corey,192.0,200,86
752,coreynofield,147.0,200,86
752,hammerlock,268.0,200,86
752,knockout,100.0,200,86
752,pass2come,185.0,200,86
753,corey,155.0,200,80
753,coreynofield,180.0,200,80
753,hammerlock,133.0,200,80
753,knockout,235.0,200,80
753,pass2come,160.0,200,80
754,corey,182.0,200,84
754,coreynofield,212.0,200,84
754,hammerlock,176.0,200,84
754,knockout,205.0,200,84
754,pass2come,220.0,200,84
755,corey,229.0,200,115
755,coreynofield,219.0,200,115
755,hammerlock,2.0,200,115
755,knockout,495.0,200,115
755,pass2come,175.0,200,115
756,corey,288.0,200,90
756,coreynofield,243.0,200,90
756,hammerlock,127.0,200,90
756,knockout,260.0,200,90
756,pass2come,205.0,200,90
757,corey,251.0,200,101
757,coreynofield,276.0,200,101
757,hammerlock,121.0,200,101
757,knockout,365.0,200,101
757,pass2come,260.0,200,101
758,corey,152.0,200,69
758,coreynofield,142.0,200,69
758,hammerlock,287.0,200,69
758,knockout,95.0,200,69
758,pass2come,160.0,200,69
759,corey,117.0,200,63
759,coreynofield,152.0,200,63
759,hammerlock,187.0,200,63
759,knockout,135.0,200,63
759,pass2come,170.0,200,63
760,corey,161.0,200,75
760,coreynofield,156.0,200,75
760,hammerlock,140.0,200,75
760,knockout,190.0,200,75
760,pass2come,160.0,200,75
761,corey,87.0,200,68
761,coreynofield,112.0,200,68
761,hammerlock,296.0,200,68
761,knockout,80.0,200,68
761,pass2come,140.0,200,68
762,corey,208.0,200,94
762,coreynofield,173.0,200,94
762,hammerlock,303.0,200,94
762,knockout,150.0,200,94
762,pass2come,165.0,200,94
763,corey,62.0,200,45
763,coreynofield,82.0,200,45
763,hammerlock,353.0,200,45
763,knockout,10.0,200,45
763,pass2come,110.0,200,45
764,corey,208.0,200,76
764,coreynofield,223.0,200,76
764,hammerlock,143.0,200,76
764,knockout,230.0,200,76
764,pass2come,215.0,200,76
765,corey,148.0,200,92
765,coreynofield,208.0,200,92
765,hammerlock,240.0,200,92
765,knockout,265.0,200,92
765,pass2come,190.0,200,92
766,corey,347.0,200,118
766,coreynofield,332.0,200,118
766,hammerlock,170.0,200,118
766,knockout,355.0,200,118
766,pass2come,290.0,200,118
767,corey,194.0,200,60
767,coreynofield,184.0,200,60
767,hammerlock,279.0,200,60
767,knockout,60.0,200,60
767,pass2come,190.0,200,60
768,corey,237.0,200,99
768,coreynofield,232.0,200,99
768,hammerlock,144.0,200,99
768,knockout,215.0,200,99
768,pass2come,210.0,200,99
769,corey,270.0,200,75
769,coreynofield,265.0,200,75
769,hammerlock,210.0,200,75
769,knockout,155.0,200,75
769,pass2come,255.0,200,75
770,corey,59.0,200,63
770,coreynofield,104.0,200,63
770,hammerlock,405.0,200,63
770,knockout,85.0,200,63
770,pass2come,120.0,200,63
771,corey,234.0,200,84
771,coreynofield,229.0,200,84
771,hammerlock,312.0,200,84
771,knockout,100.0,200,84
771,pass2come,225.0,200,84
772,corey,377.0,200,131
772,coreynofield,267.0,200,131
772,hammerlock,128.0,200,131
772,knockout,415.0,200,131
772,pass2come,245.0,200,131
773,corey,207.0,200,101
773,coreynofield,227.0,200,101
773,hammerlock,297.0,200,101
773,knockout,180.0,200,101
773,pass2come,235.0,200,101
774,corey,204.0,200,75
774,coreynofield,184.0,200,75
774,hammerlock,128.0,200,75
774,knockout,200.0,200,75
774,pass2come,200.0,200,75
775,corey,72.0,200,69
775,coreynofield,97.0,200,69
775,hammerlock,238.0,200,69
775,knockout,70.0,200,69
775,pass2come,135.0,200,69
776,corey,311.0,200,103
776,coreynofield,326.0,200,103
776,hammerlock,12.0,200,103
776,knockout,485.0,200,103
776,pass2come,260.0,200,103
777,corey,191.0,200,90
777,coreynofield,271.0,200,90
777,hammerlock,222.0,200,90
777,knockout,185.0,200,90
777,pass2come,245.0,200,90
778,corey,211.0,200,66
778,coreynofield,251.0,200,66
778,hammerlock,124.0,200,66
778,knockout,210.0,200,66
778,pass2come,235.0,200,66
779,corey,259.0,200,100
779,coreynofield,294.0,200,100
779,hammerlock,214.0,200,100
779,knockout,225.0,200,100
779,pass2come,250.0,200,100
780,corey,186.0,200,95
780,coreynofield,191.0,200,95
780,hammerlock,292.0,200,95
780,knockout,205.0,200,95
780,pass2come,195.0,200,95
781,corey,60.0,200,70
781,coreynofield,100.0,200,70
781,hammerlock,288.0,200,70
781,knockout,60.0,200,70
781,pass2come,130.0,200,70
782,corey,143.0,200,80
782,coreynofield,123.0,200,80
782,hammerlock,175.0,200,80
782,knockout,145.0,200,80
782,pass2come,135.0,200,80
783,corey,197.0,200,79
783,coreynofield,152.0,200,79
783,hammerlock,247.0,200,79
783,knockout,20.0,200,79
783,pass2come,200.0,200,79
784,corey,164.0,200,65
784,coreynofield,164.0,200,65
784,hammerlock,253.0,200,65
784,knockout,80.0,200,65
784,pass2come,200.0,200,65
785,corey,216.0,200,98
785,coreynofield,261.0,200,98
785,hammerlock,196.0,200,98
785,knockout,215.0,200,98
785,pass2come,245.0,200,98
786,corey,260.0,200,83
786,coreynofield,245.0,200,83
786,hammerlock,87.0,200,83
786,knockout,255.0,200,83
786,pass2come,245.0,200,83
787,corey,218.0,200,105
787,coreynofield,268.0,200,105
787,hammerlock,229.0,200,105
787,knockout,235.0,200,105
787,pass2come,240.0,200,105
788,corey,219.0,200,85
788,coreynofield,184.0,200,85
788,hammerlock,310.0,200,85
788,knockout,125.0,200,85
788,pass2come,190.0,200,85
789,corey,221.0,200,95
789,coreynofield,201.0,200,95
789,hammerlock,262.0,200,95
789,knockout,185.0,200,95
789,pass2come,195.0,200,95
790,corey,158.0,200,95
790,coreynofield,188.0,200,95
790,hammerlock,268.0,200,95
790,knockout,120.0,200,95
790,pass2come,220.0,200,95
791,corey,204.0,200,98
791,coreynofield,199.0,200,98
791,hammerlock,70.0,200,98
791,knockout,230.0,200,98
791,pass2come,205.0,200,98
792,corey,212.0,200,71
792,coreynofield,182.0,200,71
792,hammerlock,132.0,200,71
792,knockout,220.0,200,71
792,pass2come,180.0,200,71
793,corey,283.0,200,150
793,coreynofield,258.0,200,150
793,hammerlock,12.0,200,150
793,knockout,440.0,200,150
793,pass2come,250.0,200,150
794,corey,134.0,200,49
794,coreynofield,164.0,200,49
794,hammerlock,204.0,200,49
794,knockout,105.0,200,49
794,pass2come,170.0,200,49
795,corey,243.0,200,124
795,coreynofield,288.0,200,124
795,hammerlock,149.0,200,124
795,knockout,395.0,200,124
795,pass2come,290.0,200,124
796,corey,276.0,200,89
796,coreynofield,206.0,200,89
796,hammerlock,82.0,200,89
796,knockout,220.0,200,89
796,pass2come,220.0,200,89
797,corey,184.0,200,99
797,coreynofield,264.0,200,99
797,hammerlock,263.0,200,99
797,knockout,195.0,200,99
797,pass2come,260.0,200,99
798,corey,213.0,200,85
798,coreynofield,168.0,200,85
798,hammerlock,264.0,200,85
798,knockout,145.0,200,85
798,pass2come,200.0,200,85
799,corey,151.0,200,92
799,coreynofield,216.0,200,92
799,hammerlock,230.0,200,92
799,knockout,210.0,200,92
799,pass2come,220.0,200,92
800,corey,107.0,200,53
800,coreynofield,152.0,200,53
800,hammerlock,245.0,200,53
800,knockout,25.0,200,53
800,pass2come,180.0,200,53
801,corey,132.0,200,57
801,coreynofield,157.0,200,57
801,hammerlock,220.0,200,57
801,knockout,100.0,200,57
801,pass2come,165.0,200,57
802,corey,250.0,200,78
802,coreynofield,215.0,200,78
802,hammerlock,97.0,200,78
802,knockout,170.0,200,78
802,pass2come,205.0,200,78
803,corey,190.0,200,89
803,coreynofield,195.0,200,89
803,hammerlock,160.0,200,89
803,knockout,220.0,200,89
803,pass2come,185.0,200,89
804,corey,328.0,200,127
804,coreynofield,253.0,200,127
804,hammerlock,237.0,200,127
804,knockout,325.0,200,127
804,pass2come,225.0,200,127
805,corey,62.0,200,61
805,coreynofield,117.0,200,61
805,hammerlock,275.0,200,61
805,knockout,55.0,200,61
805,pass2come,145.0,200,61
806,corey,287.0,200,125
806,coreynofield,287.0,200,125
806,hammerlock,175.0,200,125
806,knockout,400.0,200,125
806,pass2come,235.0,200,125
807,corey,335.0,200,112
807,coreynofield,325.0,200,112
807,hammerlock,95.0,200,112
807,knockout,345.0,200,112
807,pass2come,285.0,200,112
808,corey,266.0,200,94
808,coreynofield,261.0,200,94
808,hammerlock,132.0,200,94
808,knockout,270.0,200,94
808,pass2come,195.0,200,94
809,corey,156.0,200,72
809,coreynofield,141.0,200,72
809,hammerlock,112.0,200,72
809,knockout,240.0,200,72
809,pass2come,145.0,200,72
810,corey,216.0,200,91
810,coreynofield,196.0,200,91
810,hammerlock,252.0,200,91
810,knockout,180.0,200,91
810,pass2come,190.0,200,91
811,corey,139.0,200,102
811,coreynofield,204.0,200,102
811,hammerlock,270.0,200,102
811,knockout,225.0,200,102
811,pass2come,220.0,200,102
812,corey,185.0,200,94
812,coreynofield,245.0,200,94
812,hammerlock,217.0,200,94
812,knockout,230.0,200,94
812,pass2come,205.0,200,94
813,corey,165.0,200,57
813,coreynofield,135.0,200,57
813,hammerlock,223.0,200,57
813,knockout,85.0,200,57
813,pass2come,175.0,200,57
814,corey,164.0,200,74
814,coreynofield,189.0,200,74
814,hammerlock,192.0,200,74
814,knockout,180.0,200,74
814,pass2come,195.0,200,74
815,corey,227.0,200,121
815,coreynofield,277.0,200,121
815,hammerlock,150.0,200,121
815,knockout,340.0,200,121
815,pass2come,245.0,200,121
816,corey,199.0,200,58
816,coreynofield,174.0,200,58
816,hammerlock,136.0,200,58
816,knockout,105.0,200,58
816,pass2come,190.0,200,58
817,corey,330.0,200,131
817,coreynofield,315.0,200,131
817,hammerlock,282.0,200,131
